회사명,종목코드,이벤트시작일,시장,match_status,기사수,키워드종류,대표제목,baseline_stock,baseline_index,price_30d,return_30d,excess_30d,price_60d,return_60d,excess_60d,price_90d,return_90d,excess_90d,price_180d,return_180d,excess_180d,price_365d,return_365d,excess_365d,min_price_1y,min_return_1y,min_days_1y,min_excess_1y,max_price_1y,max_return_1y,max_days_1y,max_excess_1y,상장폐지일,상장폐지사유,is_bankrupt_delist
동국제강,460860,2025-07-25,KOSPI,current_exact,3,구조조정,"동국제강, 페럼타워 재매입 10년 구조조정 마무리",9827.166666666666,2879.5603333333333,9440.0,-0.0393975883180977,-0.15410248366033796,9310.0,-0.05262622322473409,-0.26329368507452355,8640.0,-0.12080457235893693,-0.4562723364770934,8170.0,-0.16863117548292994,-0.8737282846365149,,,,7770.0,-0.2093346675033495,167.0,-0.7902600425692884,16310.0,0.6596848871326086,278.0,-0.6638990025838885,,,False
동부CNI,044640,2015-02-23,KOSDAQ,delisted_exact,1,구조조정,"[특징주]동부CNI, 구조조정 속도내며 '강세'",5693.333333333333,565.4633333333334,,,,,,,,,,,,,,,,,,,,,,,,2010-11-22,피흡수합병,False
동부건설,005960,2014-08-29,KOSPI,current_exact,1,구조조정,"동부건설, 워크아웃 신청하나? 구조조정 추진설",39513.28333333333,2025.9936666666663,24014.0,-0.3922550096022561,-0.3925542866154619,25283.0,-0.36013922744123605,-0.3106259104367902,27187.0,-0.3119529002272231,-0.29028271073502177,19951.0,-0.49508118999644424,-0.47754724245695723,10219.0,-0.7413781103991611,-0.6996683715895138,8886.0,-0.7751136010379631,265.0,-0.8229006869140132,32371.0,-0.1807565135268857,0.0,-0.2017567437020048,,,False
동부건설,005960,2015-01-02,KOSPI,current_exact,1,구조조정,"동부건설, 워크아웃 등 구조조정 돌입 이유보니",25082.183333333334,1946.7423333333334,14218.0,-0.43314344644372405,-0.4361934991214711,19803.0,-0.2104754304350166,-0.23854163402607564,18301.0,-0.2703585745791668,-0.312648540363031,10219.0,-0.5925793275572102,-0.6702206589643627,12827.0,-0.4886011385239589,-0.4742272109351854,8886.0,-0.6457246212617057,139.0,-0.7361668249637193,39608.0,0.5791288770049923,256.0,0.583845645719633,,,False
동부건설,005960,2016-03-29,KOSPI,current_exact,1,구조조정,"[단독] 동부건설, 70명 명예퇴직..기업매각 앞두고 구조조정",18400.133333333335,1924.7639999999997,18042.0,-0.019463627075166245,-0.059035231697863066,13898.0,-0.2446793863812582,-0.2666903965622469,16210.0,-0.11902812298461618,-0.1201118922155453,14166.0,-0.2301142745342426,-0.2936784309710838,12500.0,-0.32065709668770526,-0.4464990180869003,9190.0,-0.5005470974848009,325.0,-0.5815003987726471,21284.0,0.15673074832791056,41.0,0.13436644808123077,,,False
동부화재,005830,2014-06-25,KOSPI,current_exact,2,구조조정,"동부화재, 계열사 구조조정 불확실성 다소 해소-NH농협證",55329.166666666664,1993.1772916666666,54000.0,-0.024022893290157388,-0.04442885943445529,62200.0,0.12418103772874467,0.09020879220074507,61700.0,0.11514421266661645,0.0972167014097256,55000.0,-0.005949243165900953,0.019165076506489798,56200.0,0.015739136983206503,-0.0303594758785235,46700.0,-0.15596053919722863,288.0,-0.18891932746357598,63300.0,0.14406205286542662,63.0,0.10304577765742806,,,False
동부화재,005830,2014-08-27,KOSPI,current_exact,1,구조조정,"동부화재, 그룹 구조조정 순항에 '안도'..금융 수직계열화 가속",55440.0,2023.4315000000001,61000.0,0.10028860028860032,0.09623187783468978,58800.0,0.06060606060606055,0.10580724483196591,57300.0,0.03354978354978355,0.054910279321446764,54400.0,-0.018759018759018753,0.008443038735885366,52700.0,-0.04942279942279937,0.007624597536277422,46700.0,-0.1576479076479076,225.0,-0.17516196730349742,63300.0,0.14177489177489178,0.0,0.1163238201670811,,,False
동양생명,082640,2017-10-17,KOSPI,current_exact,1,희망퇴직,"[단독] 동양생명, 10년 만에 희망퇴직 실시 ""인력 선순환 차원""",8966.333333333334,2391.2944999999995,8420.0,-0.06093163314621364,-0.12093908935873798,7880.0,-0.12115692033161085,-0.1590382854248692,7450.0,-0.16911409346072348,-0.21613276891035993,8340.0,-0.06985389791442065,-0.0975357664588431,6140.0,-0.315216179040113,-0.22163318455741787,6000.0,-0.3308301423844753,359.0,-0.22142308273540257,8860.0,-0.011859176921075187,14.0,-0.06711606811536353,,,False
동양생명,082640,2019-02-12,KOSPI,current_exact,1,희망퇴직,"동양생명, 희망퇴직 실시...신청자 10여명 그쳐",5197.833333333333,2093.828,4785.0,-0.07942411902395219,-0.10896427227436245,4700.0,-0.0957770866065989,-0.16696344957433074,4150.0,-0.20159040625901814,-0.19451341617196238,3635.0,-0.30067015102446526,-0.2282964890044713,3610.0,-0.3054798473723025,-0.3745170366734295,3390.0,-0.34780517523327026,174.0,-0.2776714297680267,5130.0,-0.013050309423798367,6.0,-0.06895843559270998,,,False
두산,000150,2015-02-05,KOSPI,current_exact,1,희망퇴직,"두산, 중공업 이어 인프라코어도 희망퇴직 받는다",86532.8,1941.4286666666665,96104.0,0.11060776953941165,0.08413688538296737,83894.0,-0.030494795037257605,-0.08457936437331037,99255.0,0.1470217073757003,0.06298496879521154,82318.0,-0.04870754211119943,-0.09329395150112296,60813.0,-0.29722602296470246,-0.2850501098999938,55299.0,-0.3609475251003088,349.0,-0.31151039237708755,99649.0,0.15157489414418568,81.0,0.04025927537134377,,,False
두산,000150,2015-12-16,KOSPI,current_exact,8,"구조조정,희망퇴직","두산, 20대 신입사원 포함 대규모 구조조정",85846.06666666667,1998.9753333333333,55457.0,-0.35399486367459276,-0.29391141425400624,58765.0,-0.3154607743627935,-0.24703805245493604,68218.0,-0.20534507113896117,-0.19083497046404874,73811.0,-0.14019357128379406,-0.13023080035748946,87045.0,0.013966083478101465,-0.004880905796070145,55299.0,-0.3558353673357971,35.0,-0.2790333524368306,94134.0,0.09654412432796389,253.0,0.07456052806547864,,,False
