회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
대림산업,2010-06-15,2010-06-15,1,1,구조조정,"대림산업, 건설업 구조조정 저평가 해소 계기 될 것"
대림자동차,2017-05-29,2017-05-29,1,1,희망퇴직,"""대림자동차, 희망퇴직 거부자에 부당하게 발령"""
대법,2018-06-26,2018-06-26,1,1,희망퇴직,"대법, SKT 희망퇴직 거부 노동자에 경험 없는 부서 발령은 부당"
대산물산,2015-04-01,2015-04-01,1,1,구조조정,"대산물산, 논현동 운산빌딩 392억에 매각 동아원, 사업 구조조정 가속화"
대상,2012-02-16,2012-02-16,1,1,구조조정,"대상, 2011년 구조조정 결실 맺었다-교보證"
대선주자여,2017-02-08,2017-02-08,1,1,구조조정,"[김정호 칼럼] 대선주자여, 구조조정 현장 가지 마시라"
대성산업,2013-11-13,2013-12-04,2,2,구조조정,"[18th SRE]대성산업, 말로만 하는 구조조정"
대성산업,2016-10-14,2016-10-14,1,1,구조조정,"[특징주]대성산업, 구조조정 가속화 기대감에 '급등'"
대성산업,2019-04-12,2019-04-13,3,3,구조조정,"[특징주]대성산업, 10년 구조조정 마무리 소식에 강세"
대성산업,2020-03-20,2020-03-20,1,1,구조조정,"[한계기업 돋보기] 대성산업, 10년 구조조정 재무개선 성과 수익성 숙제는 여전"
대신증권,2010-06-08,2010-06-08,1,1,희망퇴직,"대신증권, 300명 희망퇴직 신청 전체 직원의 15%"
대신증권,2014-04-17,2014-04-18,5,5,희망퇴직,"대신증권, 창사 이후 첫 희망퇴직"
대신증권,2014-05-26,2014-06-13,12,11,희망퇴직,"대신증권, 희망퇴직 30일까지 접수...부장급 최대 2.5억"
대신증권,2016-06-14,2016-06-15,15,14,희망퇴직,"대신증권, 희망퇴직 실시 노조 ""사전 논의 없었다"""
대우건설,2012-12-05,2012-12-05,2,2,구조조정,"대우건설, 임원 10%감축 등 대규모 구조조정"
대우건설,2013-07-02,2013-07-03,5,5,구조조정,"[단독]대우건설, 임원 30% 축소 선제적 대규모 구조조정 실시"
대우건설,2015-03-11,2015-03-27,3,3,구조조정,"대우건설, 산은 출신 구조조정 전문가 감사 영입"
대우건설,2016-11-15,2016-11-15,1,1,구조조정,"대우건설, 해외사업 조직 축소..인력 구조조정 가속"
대우건설,2018-02-21,2018-02-21,1,1,구조조정,"대우건설, 구조조정 수순 돌입...3월 주총 안건 상정 유력"
대우건설,2024-06-05,2024-06-05,1,1,희망퇴직,"대우건설, 희망퇴직 실시 올해 특별위로금 신설로 처우 개선"
대우일렉,2010-02-01,2010-02-01,1,1,구조조정,"대우일렉, 구조조정 효과 거뒀다"
대우자판,2010-05-03,2010-05-03,1,1,구조조정,"대우자판, 고강도 구조조정 단행...""워크아웃, 순조롭게 진행"""
대우조선,2015-07-21,2015-09-01,10,7,"구조조정,인력감축,희망퇴직",정성립 대우조선 사장 “강도높은 구조조정 단행”
대우조선,2015-10-02,2015-12-01,11,10,구조조정,"대우조선, 인력 구조조정 10월 말까지 연장"
대우조선,2016-03-09,2016-03-09,1,1,구조조정,"[사설] 대우조선 5조 적자, 구조조정은 지지부진"
대우조선,2016-04-26,2016-06-25,20,10,"구조조정,인력감축",조선-해운 합병ㆍ빅딜 없다 대우조선 추가 인력감축
대우조선,2016-08-05,2016-12-14,35,20,"구조조정,희망퇴직","대우조선, 현 경영진 '회계사기' 의혹에 구조조정 차질 빚나"
대우조선,2017-03-20,2017-05-11,25,18,"구조조정,인력감축","이헌재 前경제부총리 ""대우조선 구조조정, 국가차원서 결단을"""
대우조선,2017-08-16,2017-08-16,1,1,구조조정,해외자회사 잇단 청산 대우조선 구조조정 가속
대우조선,2018-10-17,2018-11-15,2,1,구조조정,"구조조정 대우조선해양, 내년에 또 적자 가능성"
대우조선,2018-12-17,2018-12-17,1,1,구조조정,대우조선 구조조정 규모 줄어들 듯
