회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
11번가,2023-11-27,2023-12-04,17,16,"구조조정,희망퇴직","11번가, 창사 이래 첫 희망퇴직 받는다"
11번가,2024-03-25,2024-04-02,7,7,희망퇴직,"11번가, 올 들어 두번째 희망퇴직 단행...""전 직원 대상"""
11번가,2025-08-19,2025-08-19,5,5,"구조조정,희망퇴직","11번가, 희망퇴직 지속...M&A 대비 경영 효율화 포석"
11번가,2026-07-06,2026-07-06,3,3,희망퇴직,"11번가, 희망퇴직 시행 최대 10개월치 급여 지급"
3H,2011-03-09,2011-03-09,1,1,구조조정,"3H, 구조조정 완료..신규사업 추진"
AB인베브,2016-08-26,2016-08-26,1,1,구조조정,"AB인베브, 사브밀러 인수하며 인력 구조조정 돌입"
AIG손보,2015-12-14,2015-12-14,1,1,구조조정,"[단독]AIG손보, 대규모 구조조정 본격화...차세대시스템 도입으로 불가피"
AJ네트웍스,2022-05-25,2022-05-25,1,1,구조조정,"AJ네트웍스, 외형 성장 자회사 구조조정 효과로 수익성 개선-유진"
AJ네트웍스,2023-02-06,2023-02-06,1,1,구조조정,"AJ네트웍스, 구조조정 마무리 수순.. 렌탈 사업 확대 박차"
BC카드,2011-12-20,2011-12-20,1,1,희망퇴직,"BC카드, 10년 만에 희망퇴직"
BC카드,2016-12-28,2016-12-28,1,1,희망퇴직,"BC카드, 5년만에 희망퇴직 실시"
BGF리테일,2025-11-10,2025-11-10,1,1,구조조정,"[리포트 브리핑]BGF리테일, '2026년 업계 구조조정 효과 기대' 목표가 150,000원 - 대신증권"
BGF리테일,2026-01-08,2026-01-08,1,1,구조조정,"[리포트 브리핑]BGF리테일, '26년은 소비 회복과 업계 구조조정 효과 기대해 볼만' 목표가 150,000원 - 대신증권"
BNK금융지주,2016-05-01,2016-05-12,6,6,구조조정,"[금융인사이드]BNK금융, 조선 해운업 구조조정에 ‘좌불안석’"
BNK금융지주,2016-07-01,2016-07-01,5,5,구조조정,"BNK금융, ‘조선업 구조조정 피해기업 특례보증부 대출’ 지원"
BNK금융지주,2019-07-29,2019-07-29,2,2,구조조정,"BNK금융, 유암코와 부울경 기업 구조조정 지원한다"
BNK금융지주,2020-12-09,2020-12-10,5,5,희망퇴직,"BNK금융, 10년 이상 근무직원 대상 희망퇴직 진행"
BNK금융지주,2025-12-17,2025-12-17,1,1,희망퇴직,[단독] BNK금융도 짐 싼다 지방은행 희망퇴직 행렬 가세
BNK부산은행,2016-09-29,2016-09-29,3,3,구조조정,"BNK부산은행, 구조조정 피해기업에 500억 지원"
C&그룹,2010-10-27,2010-10-27,1,1,구조조정,"C&그룹, 구조조정 직전 금감원에 자금지원 요청"
CGV,2020-03-26,2020-03-26,2,2,희망퇴직,"CGV, 코로나19에 녹다운 극장 문 닫고 희망퇴직 받아"
CGV,2025-03-09,2025-03-11,16,15,희망퇴직,"[단독]업계 1위 CGV, 팬데믹 이후 첫 희망퇴직"
CJ,2011-06-29,2011-07-14,3,1,구조조정,"CJ, 인수자금 70% 자체 충당 ""대한통운 구조조정 없을 것"""
CJ,2014-01-07,2014-01-07,1,1,구조조정,"CJ, 시푸드 접는다 외식사업 구조조정"
CJ,2019-03-20,2019-03-20,1,1,구조조정,"CJ, 中외식사업 구조조정"
CJ,2019-11-14,2019-11-14,1,1,구조조정,"CJ, 지주사 인력 구조조정"
CJ,2020-03-12,2020-03-12,2,2,구조조정,"[리포트 브리핑]CJ, '4Q19 review: 구조조정 효과 및 턴어라운드 긍정적' 목표가 111,000원 - 케이프투자증권"
CJ그룹,2020-06-21,2020-06-21,1,1,구조조정,"[단독]CJ그룹, 이르면 3분기 CGV 등 인력 구조조정 추진"
CJ그룹,2025-03-30,2025-03-30,1,1,구조조정,"[트럼프발 구조조정 시간온다] CJ그룹, 글로벌 비즈니스 환경 변화에 유연하게 대처"
CJ대한통운,2022-08-10,2022-08-10,1,1,구조조정,"CJ대한통운, 구조조정 효과 결실 하반기도 고수익 기대-신영"
CJ바이오사이언스,2024-06-14,2024-06-14,1,1,구조조정,"[단독]CJ바이오사이언스, 英서 인수 9개 신약물질 구조조정 불가피"
CJ제일제당,2011-07-15,2011-07-15,1,1,구조조정,"CJ제일제당, 브랜드 구조조정 나섰다"
CJ제일제당,2013-05-20,2013-05-20,1,1,구조조정,구조조정 돌입한 CJ제일제당 가공식품 바이오 동반 부진에 울상
CJ제일제당,2013-09-10,2013-09-10,1,1,구조조정,"""CJ제일제당, 업계 구조조정 감내 여력 충분""-이트레이드"
CJ제일제당,2013-10-31,2013-10-31,1,1,구조조정,"CJ제일제당, 구조조정 효과 언제쯤? 3분기 영업익 대폭 감소"
CJ제일제당,2014-04-18,2014-05-09,2,2,구조조정,고성장 기대감 '원익IPS' vs 구조조정 모멘텀 'CJ제일제당'
CJ제일제당,2014-11-03,2014-11-03,1,1,구조조정,"CJ제일제당, 수익성 개선..'가공식품 구조조정 효과'(상보)"
CJ제일제당,2015-05-07,2015-05-07,1,1,구조조정,"CJ제일제당, 바이오 성장에 제품 구조조정 효과..'실적 호조'"
CJ제일제당,2017-02-21,2017-02-21,1,1,구조조정,"[종목플러스]CJ제일제당, 아지노모토 라이신 구조조정 '긍정적'"
CJ푸드빌,2020-10-20,2020-10-20,1,1,희망퇴직,"CJ푸드빌, 지원부서 대상 희망퇴직 실시"
CJ헬로비전,2016-07-05,2016-07-05,1,1,구조조정,"CJ헬로비전, 공정위 결정에 ""유감 자율 구조조정 막아"""
DB메탈,2025-02-10,2025-02-10,1,1,구조조정,"DB메탈, 구조조정 이어 해외법인 직원철수"
DGB대구은행-신용보증재단,2016-09-09,2016-09-09,1,1,구조조정,"DGB대구은행-신용보증재단, 구조조정 및 일자리 지원 특례보증 업무협약"
DGFEZ,2010-12-28,2010-12-28,1,1,구조조정,"[사설] DGFEZ, 구조조정 ‘선방’했다지만"
DJ,2010-08-30,2010-08-30,1,1,구조조정,"[고용난민 시대, 일자리 없나요?]DJ, 구조조정 ‘해고 태풍’ 盧, 비정규직 갈등 본격화"
DL이앤씨,2022-02-22,2022-02-22,1,1,희망퇴직,"[단독] DL이앤씨, 희망퇴직 신청하라더니 무더기 반려...직원들 ""낙인 찍힐라"" 멘붕"
DS네트웍스,2023-04-03,2023-04-03,1,1,구조조정,"DS네트웍스, 신사업 접고 구조조정 돌입 [시그널]"
EADS,2013-12-10,2013-12-10,1,1,구조조정,"EADS, 5800명 구조조정"
ECB,2011-05-03,2011-05-03,1,1,구조조정,"ECB, 유로존 국가에 다년도 재정 구조조정 촉구"
EDGC,2023-05-08,2023-05-08,1,1,구조조정,"EDGC, 판관비 구조조정 성공 ""올해는 자산매각해 재도약 기반 마련"""
EDGC,2026-03-23,2026-03-23,1,1,구조조정,"EDGC, 회생절차 진행 감자 유상증자 등 자본 구조조정 단행"
EU재무장관,2019-06-14,2019-06-14,1,1,구조조정,"EU재무장관, 유로존 국채 구조조정 방안 논의"
G20정상,2012-06-18,2012-06-18,1,1,구조조정,"G20정상, 유로존 강력한 구조조정 촉구"
GC녹십자,2023-11-09,2023-11-09,1,1,희망퇴직,"GC녹십자, 희망퇴직 실시 “조직 10% 감축”"
GM회장,2018-02-08,2018-02-08,1,1,구조조정,"GM회장, 한국지엠 구조조정 가능성 비춰"
GS,2012-06-14,2012-06-14,1,1,구조조정,"GS, 에너지 사업 구조조정 ‘가속도’"
GS,2015-05-13,2015-05-13,1,1,희망퇴직,"GS,에쓰오일에 이어 SK이노베이션도 희망퇴직(종합)"
GS그룹,2013-08-27,2013-08-27,1,1,구조조정,"GS그룹, DKT 대청소 끝 3년만에 구조조정 성과"
GS리테일,2014-09-30,2014-09-30,1,1,구조조정,"GS리테일, 적자 편의점 점포 구조조정 효과↑ '매수' - 현대증권"
GS리테일,2015-03-16,2015-03-16,1,1,구조조정,"[fn특징주]GS리테일, 담배값 인상 및 점포 구조조정에 신고가 경신"
GS리테일,2017-02-03,2017-02-03,1,1,구조조정,"[로봇뉴스]GS리테일, ""슈퍼 구조조정과 호 "" 매수(유지)-NH투자증권"
GS리테일,2021-10-21,2021-10-22,3,3,희망퇴직,"GS리테일, 과 차장급 희망퇴직 실시 인력 재편 속도"
GS리테일,2023-08-09,2023-08-09,1,1,구조조정,"[리포트 브리핑]GS리테일, '호텔 실적 호조, 공통 및 기타 구조조정 기대 이상' 목표가 30,000원 - 대신증권"
GS리테일,2024-12-24,2024-12-24,4,4,구조조정,"""GS리테일, 업계 점포 구조조정 효과 확인 필요""-대신"
GS리테일,2025-05-12,2025-05-12,1,1,구조조정,"[리포트 브리핑]GS리테일, '편의점 점포 본격 구조조정 시작되며 손익 부진' 목표가 20,000원 - 대신증권"
GS리테일,2025-12-19,2025-12-19,1,1,구조조정,"""GS리테일, 점포 구조조정 따른 수익성 개선 이어질 것 목표가↑""-IBK"
GS리테일,2026-02-04,2026-02-04,1,1,구조조정,"GS리테일, 편의점 구조조정 성공 사상 최대 매출 달성"
GS리테일,2026-05-08,2026-05-08,1,1,구조조정,"GS리테일, 편의점 구조조정 성과 드러난 호실적에 '급등'"
GS리테일,2026-06-23,2026-06-26,2,2,구조조정,"[리포트 브리핑]GS리테일, '사업 구조조정 효과에 업황 개선까지' Not Rated - 하나증권"
GS칼텍스,2012-06-20,2012-06-25,6,6,"구조조정,희망퇴직","GS칼텍스, 14년 만에 희망퇴직 실시"
GS칼텍스,2014-05-23,2014-05-23,1,1,구조조정,"GS칼텍스, 임원 15% 구조조정"
G마켓,2024-09-27,2024-09-27,8,8,희망퇴직,"G마켓, 사상 첫 희망퇴직 공고 비용 효율화 작업 돌입"
HD현대오일뱅크,2025-10-27,2025-10-27,1,1,구조조정,"HD현대오일뱅크, 석화 구조조정 속 자산 매각 대산서 결실 언제쯤"
HD현대케미칼,2025-11-26,2025-11-26,1,1,구조조정,"HD현대케미칼, 롯데케미칼과 사업재편 심사 신청..석화 구조조정 1호 확정"
HMC투자증권,2014-07-10,2014-07-25,3,3,"구조조정,희망퇴직","HMC투자증권, 지점 통폐합 인력 구조조정 추진"
HMM,2022-11-30,2022-12-05,5,5,"구조조정,희망퇴직","HMM, 희망퇴직 추진"
HMM,2026-02-03,2026-02-04,7,7,희망퇴직,"HMM, 50세 이상 직원 대상 희망퇴직 시행 “조직 선순환 차원”"
IAG,2012-11-10,2012-11-10,1,1,구조조정,"IAG, 스페인 이베리아항공 구조조정"
IBK기업은행,2015-12-23,2015-12-23,1,1,희망퇴직,"IBK기업은행, 하반기 희망퇴직에 188명 신청"
IBK기업은행,2020-12-14,2020-12-15,6,6,구조조정,"IBK기업은행, 구조조정 중기 경영정상화 지원 330억 투자유치"
IBK투자증권,2015-12-23,2015-12-23,1,1,희망퇴직,"IBK투자증권, 희망퇴직 실시 16~20개월치 위로금 지급"
IBK투자증권,2024-02-29,2024-02-29,1,1,구조조정,"IBK투자증권, 구조조정 전문 인베스터유나이티드 등과 협약"
IBK투자증권,2025-02-06,2025-02-06,1,1,구조조정,"IBK투자증권 ""롯데하이마트, 구조조정 마무리 단계 점진적 실적 개선 예상"""
IMF총재,2010-06-03,2010-06-03,1,1,구조조정,"IMF총재, 90년대말 한국 구조조정 과정 실수 인정"
ING,2014-11-25,2014-11-25,1,1,구조조정,"ING, 3년내 총 1700명 구조조정 계획"
ING생명,2014-06-25,2014-08-12,6,4,"구조조정,희망퇴직","ING생명, 인력 구조조정 돌입 부서장급 인력 정리"
IT,2012-03-19,2012-03-19,1,1,구조조정,"IT, 日 업체 구조조정 올해도 지속..`비중확대`-HMC"
IT업계,2024-10-16,2024-10-16,1,1,구조조정,"IT업계, 구조조정 불안 지속 ""직원 월급까지 못 줘"""
JT정밀,2010-02-22,2010-02-22,2,1,구조조정,"JT정밀, 구조조정 두고 본격 노사 갈등"
K-게임,2024-01-03,2024-01-03,1,1,구조조정,"K-게임, 글로벌 구조조정 속 웨스턴 ‘정조준’"
K-철강,2026-01-27,2026-01-27,1,1,구조조정,"K-철강, 전기요금 원가 부담에 구조조정 효과 미미"
KB,2010-09-20,2010-09-20,1,1,희망퇴직,"KB, 추석연휴 뒤 희망퇴직 본격 논의"
KBI국인산업,2025-07-23,2025-07-23,2,2,구조조정,"KBI국인산업, 라온저축은행 주식 취득 저축은행 구조조정 신호탄"
KB국민,2019-01-11,2019-01-11,1,1,희망퇴직,"KB국민, ‘임피’ 직원 대상 희망퇴직"
KB국민은행,2010-08-09,2010-08-09,1,1,구조조정,"KB국민은행, 대규모 인력 구조조정 예고"
KB국민은행,2010-10-14,2010-10-14,1,1,희망퇴직,"KB국민은행, 직원 3000여명에게 희망퇴직 권고 논란"
KB국민은행,2015-05-12,2015-06-01,20,16,희망퇴직,"KB국민은행, 희망퇴직 실시"
KB국민은행,2016-01-14,2016-01-14,1,1,구조조정,"KB국민은행, 지점 통폐합으로 인한 구조조정 논란"
KB국민은행,2016-04-29,2016-04-29,1,1,구조조정,"KB국민은행, 구조조정 못하니..6개월 단위로 평가"
KB국민은행,2016-06-24,2016-06-24,1,1,희망퇴직,"KB국민은행, 29일까지 '임금피크제 대상' 희망퇴직 접수"
KB국민은행,2016-12-11,2017-01-19,18,16,희망퇴직,"KB국민은행, 10년차 이상 직원 희망퇴직 시행"
KB국민은행,2017-12-27,2017-12-28,4,4,희망퇴직,"KB국민은행, 임금피크제 대상자 희망퇴직 실시 ""27 36개월치 급여 지급키로"""
KB국민은행,2019-01-11,2019-01-15,11,11,희망퇴직,"KB국민은행, 희망퇴직 노사합의"
KB국민은행,2021-01-20,2021-01-20,3,3,희망퇴직,"KB국민은행, 22일까지 희망퇴직 접수 73년생까지 대상"
KB국민은행,2022-12-29,2022-12-29,1,1,희망퇴직,KB국민은행도 희망퇴직 접수 시작 새해 초 은행원 수천명 떠난다
KB국민은행,2023-12-29,2023-12-29,1,1,희망퇴직,KB국민은행도 희망퇴직 접수 최대 31개월치 퇴직금으로 감소
KB국민은행,2024-12-26,2024-12-26,1,1,희망퇴직,"KB국민은행도 희망퇴직 신청 받는다 ""최대 31개월치 임금"""
KB국민카드,2018-01-12,2018-01-12,1,1,희망퇴직,"KB국민카드, 7년만에 첫 희망퇴직 실시 분사 이후 처음"
KB국민카드,2021-12-21,2021-12-21,5,5,희망퇴직,"KB국민카드, 희망퇴직 단행 ""36개월치 임금 지급"""
KB국민카드,2025-01-07,2025-01-07,1,1,희망퇴직,"허리띠 졸라매는 KB국민카드, 3년만에 희망퇴직"
KB금융,2010-10-29,2010-10-29,1,1,희망퇴직,"KB금융, 4분기 희망퇴직 비용 6780억 (상보)"
KB금융,2011-01-20,2011-02-10,2,2,구조조정,"KB금융, 국민銀 이어 계열사 구조조정 하나"
KB금융,2015-07-24,2015-07-24,1,1,희망퇴직,"KB금융, 대규모 희망퇴직의 이면을 봐주세요"
KB금융,2018-07-16,2018-07-16,1,1,구조조정,"KB금융,가계대출 비중 높아 구조조정 영향 예상-키움증권"
KB금융,2022-01-11,2022-01-11,1,1,희망퇴직,"[클릭 e종목] KB금융, 희망퇴직 제외 순이익 1조원 전망"
KB라이프생명,2025-08-24,2025-08-24,1,1,희망퇴직,"[단독]KB라이프생명, 희망퇴직 접수 은행 손보 카드 이어 “조직 슬림화”"
KB손보,2015-06-24,2015-06-24,1,1,구조조정,"김병헌 KB손보 사장 ""당분간 구조조정 계획없다"""
KB손보,2019-05-23,2019-05-23,1,1,희망퇴직,"""200~300명 희망퇴직 저지"" KB손보 노조 투쟁선포식"
KB손보,2021-06-07,2021-07-01,16,14,희망퇴직,"'영업 건전성 악화' KB손보, 37세까지 희망퇴직 받는다"
KB손보,2021-11-08,2021-11-08,1,1,구조조정,"보험사, 인력 구조조정 가속화되나 KB손보가 신호탄?"
KB손보,2024-07-18,2024-07-31,14,12,희망퇴직,"KB손보, 3년 만에 희망퇴직 실시 ""만 45세 이상 장기근속자 대상"""
KB손해보험,2021-06-07,2021-06-30,3,3,희망퇴직,"KB손해보험, 2년 만에 희망퇴직 시행 ""40대 초반도 포함"""
KB손해보험,2024-07-18,2024-07-18,9,9,희망퇴직,"KB손해보험, 3년 만에 희망퇴직 실시 “인력구조 개선”"
KB증권,2018-03-07,2018-03-07,1,1,희망퇴직,"KB증권, 희망퇴직 잠정 보류"
KB증권,2018-12-05,2018-12-06,8,8,희망퇴직,"KB증권, 통합 법인 출범 이후 첫 희망퇴직 신청 받아"
KB증권,2021-01-07,2021-01-07,4,4,희망퇴직,"KB증권, 희망퇴직 실시 합병 후 두 번째"
KB증권,2022-12-09,2022-12-09,3,3,"구조조정,희망퇴직","KB증권, 희망퇴직 단행 ""월급여 34개월분 지급"""
KB증권,2024-12-09,2024-12-10,3,3,희망퇴직,"KB증권, 희망퇴직 실시"
KB지주,2015-06-05,2015-06-05,1,1,희망퇴직,"KB지주, 희망퇴직 효과 기대"
KB투자,2016-06-28,2016-06-28,1,1,희망퇴직,"KB투자, 메리츠화재 점포통폐합과 희망퇴직 성공시 수익성 개선에 기여할 것"
KB투자증권,2016-11-30,2016-12-06,8,6,희망퇴직,"KB투자증권, 희망퇴직 실시"
KCC,2012-07-18,2012-07-18,1,1,구조조정,"[단독]KCC, 연중 구조조정 단행..`외환위기 이후 처음`"
KCC,2013-03-08,2013-03-08,1,1,구조조정,"KCC, 폴리실리콘 사업 구조조정 완료-메리츠"
KCC,2013-05-06,2013-05-06,2,2,구조조정,"KCC, 발목잡던 폴리실리콘 구조조정 완료-한투證"
KCC,2013-06-11,2013-06-11,2,2,구조조정,"KCC, 유리업계 구조조정 여파 벗어나-한국투자證"
KCC,2020-08-25,2020-08-25,1,1,구조조정,"KCC, 해외 실리콘 사업 구조조정"
KCC글라스,2025-06-16,2025-06-16,1,1,구조조정,"KCC글라스, 고양 판매장 울산영업소 폐점...실적부진에 구조조정 신호탄"
KDB산은,2019-04-25,2019-04-25,1,1,구조조정,"KDB산은, 구조조정 전담 자회사 ‘KDB인베스트먼트’ 설립"
KDB생명,2017-04-25,2017-07-19,11,8,"구조조정,희망퇴직","KDB생명, 7년만에 희망퇴직 ‘초읽기’"
KDB생명,2017-09-06,2017-09-06,1,1,구조조정,KDB생명 이어 현대라이프도 구조조정 돌입
KDB인베,2022-11-08,2022-11-08,1,1,구조조정,"[시그널] KDB인베, 4000억 펀드 결성 선제적 구조조정 추진"
KEB하나,2018-08-01,2018-08-01,1,1,희망퇴직,"KEB하나, 준정년 퇴직 274명 확정 은행권 희망퇴직 신호탄"
KEB하나은행,2015-12-23,2015-12-23,1,1,희망퇴직,"KEB하나은행, 만40세 이상 대상 희망퇴직 실시"
KEB하나은행,2019-01-17,2019-01-17,1,1,희망퇴직,"KEB하나은행, 희망퇴직 210명 신청 최대 36개월치 특별퇴직금"
KEC,2011-11-14,2011-11-14,1,1,구조조정,"[경북] KEC, 대규모 구조조정 시도...노조 반발"
KR모터스,2017-05-16,2017-05-16,1,1,구조조정,"KR모터스, 인력 구조조정 마무리 비용구조 개선 기대"
KT,2010-01-08,2010-01-21,8,4,"구조조정,희망퇴직","KT, 구조조정 효과+안드로이드 수혜 `닷새째 상승`"
KT,2010-10-25,2010-10-25,2,2,구조조정,"이석채 회장 ""KT 더이상 구조조정 없다"""
KT,2011-12-05,2011-12-06,2,1,구조조정,사람잡는 KT 구조조정? 사망자 42%가 순환기계통 질환
KT,2012-07-26,2012-08-13,3,2,"구조조정,희망퇴직","KT, 구조조정 리츠 추진, 8개 건물 유동화 691억 모집"
KT,2012-09-14,2012-09-14,1,1,희망퇴직,“KT 자회사서도 ‘인력 퇴출’ 가동” BC카드 등 희망퇴직 종용
KT,2013-11-05,2013-11-05,1,1,구조조정,"KT, 또다시 '격랑속으로 강도높은 구조조정 후폭풍"
KT,2014-01-27,2014-01-27,1,1,구조조정,"황창규 KT 회장, ‘LTE급’ 구조조정 곧 발표"
KT,2014-04-08,2014-07-18,47,17,구조조정,"KT, 구조조정 소식에 7% 주가 급등..“사업 비전 나와야”"
KT,2014-10-21,2014-10-31,4,3,구조조정,"KT, ""올해는 2차 구조조정 없다"" 밝혀"
KT,2014-12-20,2015-01-30,11,10,"구조조정,희망퇴직","KT, 상무보급 희망퇴직 시행"
KT,2015-04-30,2015-04-30,1,1,구조조정,"KT, 인력 구조조정 효과 1470억...단통법 효과는 670억"
KT,2015-10-14,2015-10-30,2,2,구조조정,"KT, 구조조정 효과 지속 저평가 매력 부각-한화"
KT,2016-10-28,2016-10-28,2,2,구조조정,"[컨콜] KT ""인력 구조조정 계획 없어 2020년 인력 선순환 기대"""
KT,2020-03-04,2020-03-04,1,1,희망퇴직,"KT, 10일까지 임금피크제 대상자 희망퇴직 접수"
KT,2020-06-04,2020-06-04,1,1,희망퇴직,"[단독] KT, 올해 두 번째 희망퇴직 받는다"
KT,2023-09-06,2023-09-07,2,2,"구조조정,희망퇴직","[리포트 브리핑]KT, '만약 희망퇴직 실시하면 배당은 급감합니다' 목표가 40,000원 - 하나증권"
KT,2024-10-11,2025-02-13,16,12,"구조조정,희망퇴직","KT, 네트워크 자회사 설립.. 희망퇴직도 실시 추진"
KT,2026-03-30,2026-03-30,1,1,구조조정,"KT, 구조조정 인원 2300명 복귀 시킨다"
KT&G,2010-07-02,2010-07-02,3,3,구조조정,"(VOD)오늘의 핫종목..KT&G, 구조조정 효과 기대해볼까?"
KT&G,2013-12-19,2013-12-19,1,1,구조조정,"[마켓인사이트] KT&G, 건강사업부문 구조조정"
KTB투자증권,2013-10-07,2013-10-07,2,2,구조조정,"KTB투자증권, 대규모 구조조정 실시 리테일 줄이고 IB 키운다"
KTH,2013-03-13,2013-03-14,4,4,희망퇴직,"KTH, 사업재편 위한 희망퇴직 시행"
KT그룹,2012-08-12,2012-08-12,1,1,구조조정,"KT그룹, 휴대폰 제조사업 철수 휴대폰 시장 구조조정"
KT스카이라이프,2024-11-26,2024-11-27,8,8,"구조조정,희망퇴직","KT스카이라이프, 희망퇴직 실시 ""역피라미드 인력구조 개선"""
KT테크,2012-08-13,2012-08-13,2,2,희망퇴직,"KT테크, 전 직원 대상 희망퇴직 실시"
LB세미콘,2025-12-21,2025-12-21,1,1,구조조정,"LB세미콘, 'CB 발행 자사주 매각'에도 결국 구조조정"
LCC,2020-02-10,2020-02-10,1,1,구조조정,"[항공업계 폭풍속으로] LCC, 줄일 대로 줄인 허리띠... 임직원 구조조정도 본격화"
LCC,2022-01-21,2022-01-21,1,1,구조조정,"LCC, 고용유지지원금 중단에 무급 휴직 및 구조조정 나서나"
LCD업계,2012-04-02,2012-04-02,1,1,구조조정,"LCD업계, 대형OLED 맞이 구조조정 들어가나?"
LF,2016-06-03,2016-06-03,1,1,구조조정,"LF, 소비부진 속 수익성 악화 브랜드 구조조정 주력-이베스트"
LG그룹,2012-05-04,2012-05-04,1,1,구조조정,"LG그룹, 비주력 계열사 7곳 구조조정"
LG그룹,2025-03-09,2025-03-09,1,1,구조조정,"[트럼프발 구조조정 시간온다] LG그룹, '선택과 집중' 투자로 돌파구 마련"
LG디스플레이,2011-11-23,2011-11-23,2,2,구조조정,"[Hot-Line 코스피] LGD, 4분기 적자폭 축소 日 구조조정 덕분"
LG디스플레이,2012-05-07,2012-05-07,1,1,구조조정,"LGD, 조직개편 단행..""인적 구조조정은 없다"""
LG디스플레이,2018-06-21,2018-06-21,2,2,희망퇴직,"LG디스플레이, 하반기 희망퇴직 '사실무근' 반박"
LG디스플레이,2018-07-25,2018-07-25,2,2,구조조정,"[컨콜] LG디스플레이 ""중국 업체들 투자로 경쟁력 없는 팹과 업체 구조조정 될 수 있다고 생각"""
LG디스플레이,2018-09-28,2018-11-16,11,11,"구조조정,희망퇴직","LG디스플레이, 생산직 첫 희망퇴직"
LG디스플레이,2019-09-17,2019-11-10,36,23,"구조조정,희망퇴직","LG디스플레이, 23일부터 희망퇴직 접수 10월 말까지 완료"
LG디스플레이,2020-01-31,2020-01-31,1,1,구조조정,"LG디스플레이, 지난해 연간 적자 1조원 넘겨 ""LCD 구조조정 여파"""
LG디스플레이,2022-06-28,2022-07-28,2,1,구조조정,"LG디스플레이, 2Q 적자전환 LCD 구조조정 필요-하이"
LG디스플레이,2022-12-15,2022-12-15,1,1,구조조정,"LG디스플레이, 수익성 개선 위한 구조조정 긍정적 - 다올"
LG디스플레이,2023-01-30,2023-01-30,1,1,구조조정,"[리포트 브리핑]LG디스플레이, '사업 구조조정 성과는 2Q23부터' 목표가 17,000원 - 하이투자증권"
LG디스플레이,2023-12-05,2023-12-06,7,7,희망퇴직,"LG디스플레이, 생산직 희망퇴직 받는다 체질개선 속도"
LG디스플레이,2024-06-04,2024-06-26,4,4,희망퇴직,"LG디스플레이, 이달 말까지 희망퇴직 접수"
LG디스플레이,2024-10-23,2024-11-07,10,10,희망퇴직,"[컨콜] LG디스플레이 “3분기 적자, 희망퇴직 비용 1000억원 이상 영향 실제 실적은 개선”"
LG디스플레이,2025-05-29,2025-05-29,1,1,희망퇴직,"[단독] LG디스플레이, 내달 희망퇴직 실시 체질개선 속도"
LG디스플레이,2025-10-16,2025-10-30,16,15,"구조조정,희망퇴직","LGD, 사무직 희망퇴직 실시 인력 효율화 조치"
LG디스플레이,2025-12-02,2025-12-02,1,1,구조조정,"LG디스플레이, 구미 공장부지 매각 LCD 구조조정 계속"
LG디스플레이,2026-01-28,2026-01-28,2,2,"구조조정,희망퇴직","""4Q 희망퇴직 관련 비용 900억 이상 일회성 비용 제외시 체질 강화""-LG디스플레이 컨콜"
LG디스플레이,2026-04-08,2026-04-23,11,11,"구조조정,희망퇴직","LG디스플레이, 최대 3년치 급여 보상 희망퇴직 실시"
LG디스플레이,2026-06-25,2026-06-25,1,1,구조조정,"LG디스플레이, 구조조정 비용 2분기 기대치 하회할 것 5년만 조단위 영업익 전망은 유지-IBK"
LG상사,2015-02-08,2015-02-08,1,1,구조조정,"구조조정 앞둔 LG상사, 본격 인적 구조 개편 나선다"
LG생활건강,2023-06-02,2023-06-02,10,10,희망퇴직,"LG생건, 창사 이래 첫 희망퇴직 실시"
LG생활건강,2023-07-10,2023-07-28,2,1,"구조조정,희망퇴직","LG생건, 첫 희망퇴직 신청자 50명 안돼 “회사 남는게 이득”"
LG생활건강,2024-12-16,2024-12-16,4,4,희망퇴직,"LG생활건강 자회사 코카콜라음료, 첫 희망퇴직 단행"
LG생활건강,2025-02-04,2025-02-04,1,1,구조조정,"LG생활건강, 4분기 영업익 20%↓ ""음료부문 구조조정 영향"""
LG생활건강,2025-08-19,2025-08-28,4,3,구조조정,"[리포트 브리핑]LG생활건강, '사업 구조조정 시작, 바닥 탈출 중' 목표가 336,000원 - 메리츠증권"
LG생활건강,2025-10-21,2025-11-11,7,6,"구조조정,희망퇴직","LG생활건강, 백화점 면세점 판촉직 대상 희망퇴직 시행"
LG생활건강,2026-01-28,2026-01-29,2,2,구조조정,"LG생활건강, 4분기 적자 전환 구조조정 비용에 연간 영업이익 63% 급감"
LG생활건강,2026-03-03,2026-03-03,2,2,희망퇴직,"LG생건, 지난해 코카콜라 희망퇴직 실시 인수 후 두번째"
LG유플러스,2022-06-09,2022-06-10,8,8,희망퇴직,"LGU+, 첫 희망퇴직 시행 연봉 3년치 지급"
LG유플러스,2025-01-03,2025-01-03,1,1,구조조정,"LGU+, 초등생 홈스쿨링 중단 통신사 사업 구조조정 '잰걸음'"
LG유플러스,2025-02-06,2025-02-06,2,2,구조조정,"[컨콜] LGU+ ""경쟁력 부족 저수익 사업, 과감한 구조조정 시행할 것"""
LG유플러스,2025-07-25,2025-07-27,4,4,희망퇴직,"LG유플러스, 50세 이상 직원 대상 희망퇴직 실시"
LG유플러스,2025-08-27,2025-08-27,1,1,희망퇴직,3년 만에 희망퇴직 시행하는 LG유플러스 신청자 600명 몰려
