Date,Open,High,Low,Close,Volume,Change
2014-04-11,29795,29936,29467,29608,98801,
2014-04-14,29561,30359,29373,30312,146003,0.023777357470953886
2014-04-15,30265,30312,29842,29889,107764,-0.013954869358669852
2014-04-16,29889,31017,29889,30782,343032,0.029877212352370508
2014-04-17,30923,31534,30923,31346,271959,0.018322396205574742
2014-04-18,31205,31393,30876,31017,134772,-0.010495757034390318
2014-04-21,30829,31487,30829,31440,169119,0.013637682561176145
2014-04-22,31299,31393,30923,31252,136912,-0.00597964376590332
2014-04-23,31252,31534,30876,31205,143663,-0.0015039037501599628
2014-04-24,31111,31205,30218,30265,138186,-0.030123377663835882
2014-04-25,30359,30735,29983,29983,104307,-0.009317693705600538
2014-04-28,29936,31017,29936,30406,113583,0.014107994530233814
2014-04-29,31017,32192,30876,32192,783539,0.05873840689337628
2014-04-30,32380,32568,31957,32098,253492,-0.0029199801192842934
2014-05-02,32098,32427,31816,32286,170545,0.005857062745342478
2014-05-07,32145,32286,31064,31487,243922,-0.024747568605587578
2014-05-08,31487,31910,31017,31534,174755,0.0014926795185314923
2014-05-09,31534,31816,30782,31534,237969,0.0
2014-05-12,31581,31816,31017,31205,156314,-0.010433183230798448
2014-05-13,31299,31487,30735,30876,183977,-0.010543182182342625
2014-05-14,31017,31816,31017,31628,162480,0.02435548646197705
2014-05-15,31628,31863,30923,30970,138971,-0.0208043505754395
2014-05-16,30970,30970,30265,30500,160917,-0.015175976751695242
2014-05-19,30641,30641,29795,29983,136104,-0.01695081967213119
2014-05-20,29983,30547,29983,30359,109736,0.012540439582430007
2014-05-21,30359,30970,30171,30688,140464,0.010836984090385027
2014-05-22,30829,31064,30406,31064,136716,0.012252346193952102
2014-05-23,31064,31111,30077,30171,157189,-0.028747102755601328
2014-05-26,30171,30641,30030,30500,101967,0.01090451095422762
2014-05-27,30547,30735,30030,30641,118590,0.0046229508196722335
2014-05-28,30406,30735,30124,30406,122401,-0.0076694624849058535
2014-05-29,30406,30406,29608,29608,134678,-0.026244820101295807
2014-05-30,29655,30594,29655,30171,161807,0.019015131045663436
2014-06-02,30312,30594,29889,30359,93791,0.006231149116701529
2014-06-03,30171,30453,29889,30265,105407,-0.003096281168681436
2014-06-05,30265,30406,28950,29748,229061,-0.01708243846026769
2014-06-09,29795,30218,29655,30124,157381,0.012639505176818666
2014-06-10,30077,30171,29655,29842,99815,-0.009361306599389163
2014-06-11,30030,31346,29655,31299,227504,0.04882380537497477
2014-06-12,31111,31581,31017,31581,157986,0.009009872519888829
2014-06-13,31299,31816,31017,31675,207784,0.0029764731959089907
2014-06-16,31816,31957,31487,31769,120853,0.002967640094711843
2014-06-17,31816,31816,31158,31252,111925,-0.01627372595926846
2014-06-18,31487,31957,31064,31816,148996,0.018046845001919776
2014-06-19,32051,33367,32051,33179,600980,0.0428400804626603
2014-06-20,33226,33320,32521,32521,239603,-0.019831821332770727
2014-06-23,32850,33602,32474,32662,226636,0.004335660035054367
2014-06-24,32239,33320,32239,33320,223641,0.02014573510501494
2014-06-25,33367,33367,32521,32897,136850,-0.012695078031212503
2014-06-26,33038,33273,31910,32051,249905,-0.025716630695808096
2014-06-27,32239,32568,31675,32568,165287,0.016130541948769173
2014-06-30,32615,32944,32098,32286,115127,-0.008658806190125268
2014-07-01,32333,33320,31910,33273,242056,0.03057052592454923
2014-07-02,33085,34401,33038,34072,459862,0.02401346437051055
2014-07-03,34072,34683,33931,34589,291391,0.01517374970650387
2014-07-04,34589,34777,34213,34589,239549,0.0
2014-07-07,34683,34730,34119,34448,204643,-0.004076440486859956
2014-07-08,34260,34260,33602,33696,160445,-0.021830004644681877
2014-07-09,33649,35529,33414,34965,423704,0.03766025641025639
2014-07-10,35059,35200,34589,34824,182166,-0.004032604032604081
2014-07-11,34777,34824,34072,34589,157432,-0.006748219618653795
2014-07-14,34824,35435,34636,35388,180528,0.02309982942554001
2014-07-15,35435,35717,34542,34918,187788,-0.013281338306770696
2014-07-16,34918,35435,34683,34777,157419,-0.00403803196059338
2014-07-17,34777,35200,34119,34495,127878,-0.0081088075452167
2014-07-18,34166,34777,34119,34401,96363,-0.0027250326134222735
2014-07-21,34777,34824,34260,34589,96488,0.005464957414028637
2014-07-22,34401,35153,34119,35106,147966,0.014946948451819875
2014-07-23,35153,35388,34448,34777,151179,-0.009371617387341158
2014-07-24,34777,35200,34354,35106,152030,0.009460275469419521
2014-07-25,35106,35200,34683,35106,132251,0.0
2014-07-28,35059,35106,33461,33602,254246,-0.04284167948498829
2014-07-29,33790,34260,32709,33461,258698,-0.004196178798881012
2014-07-30,34589,35294,32991,33367,525224,-0.002809240608469543
2014-07-31,33179,34166,33179,34166,344036,0.023945814727125647
2014-08-01,33931,34119,33508,33602,189911,-0.01650763917344733
2014-08-04,33649,34119,33367,34119,143574,0.015385988929230487
2014-08-05,33884,34307,32850,32991,315326,-0.03306075793546115
2014-08-06,32850,33226,31534,31769,415742,-0.03704040495892824
2014-08-07,31675,32286,31675,32004,124617,0.007397148163303946
2014-08-08,32098,32286,31581,31957,138152,-0.0014685664291963496
2014-08-11,32333,32474,31722,31816,90122,-0.00441217886535028
2014-08-12,31910,32239,31581,31816,182755,0.0
2014-08-13,31910,32991,31863,32850,176929,0.032499371385466436
2014-08-14,32991,33132,32380,32756,146732,-0.0028614916286149317
2014-08-18,32944,33179,32615,32756,159688,0.0
2014-08-19,32991,33038,31769,32380,218999,-0.011478813041885472
2014-08-20,32427,32427,31581,31675,158226,-0.021772699197035172
2014-08-21,31628,31957,31299,31346,167166,-0.010386740331491673
2014-08-22,31346,32051,31346,32051,165811,0.022490907930836412
2014-08-25,32192,32427,31628,32333,134440,0.008798477426601448
2014-08-26,32474,32803,32192,32756,179440,0.01308260909906278
2014-08-27,32756,33038,32521,33038,147995,0.008609109781414048
2014-08-28,32850,32991,32333,32897,147762,-0.004267812821599382
2014-08-29,32756,32850,32145,32192,102861,-0.021430525579840154
2014-09-01,32051,32380,31863,32051,96685,-0.00437997017892644
2014-09-02,32333,32427,31440,31675,127758,-0.011731303235468449
2014-09-03,31487,31722,30594,30641,277288,-0.03264404104183105
2014-09-04,30876,31440,30735,31346,178393,0.02300838745471756
2014-09-05,31205,31863,31205,31440,96484,0.0029987877241115513
2014-09-11,31205,32239,31205,31722,138987,0.008969465648855035
2014-09-12,31440,31957,31158,31393,114660,-0.010371351112792415
2014-09-15,31064,31534,31064,31299,75819,-0.0029942980919313023
2014-09-16,31299,31722,31205,31675,100799,0.012013163359851697
2014-09-17,31722,31722,30876,31205,169761,-0.014838200473559549
2014-09-18,31111,31487,30782,30970,227335,-0.0075308444159589705
2014-09-19,30735,31158,30594,31064,174635,0.003035195350339137
2014-09-22,30923,31017,30359,30453,125628,-0.01966907030646403
2014-09-23,30406,30547,29608,29748,194179,-0.0231504285292089
2014-09-24,29702,31017,29232,30923,201352,0.03949845367755822
2014-09-25,30923,31158,30077,30406,188990,-0.016718947062057343
2014-09-26,30124,30594,30030,30265,78518,-0.004637242649477069
2014-09-29,30265,30594,29232,29373,181253,-0.029472988600693917
2014-09-30,29279,29936,28903,29655,170321,0.009600653661525849
2014-10-01,29608,29608,28198,28245,167935,-0.04754678806272128
2014-10-02,28057,29138,28010,28715,216770,0.016640113294388303
2014-10-06,28527,29232,28433,28762,119498,0.0016367752045969297
