Date,Open,High,Low,Close,Volume,Change
2014-04-11,48779.0,49647.0,48779.0,49180.0,11024.0,
2014-04-14,48913.0,49313.0,48513.0,48579.0,5475.0,-0.012220414802765367
2014-04-15,48379.0,48646.0,47712.0,48045.0,11384.0,-0.010992404125239275
2014-04-16,47645.0,47845.0,47178.0,47445.0,12142.0,-0.012488292226038089
2014-04-17,47445.0,48179.0,47378.0,48179.0,7801.0,0.015470544841395206
2014-04-18,48179.0,48980.0,48179.0,48913.0,7440.0,0.015234853359347378
2014-04-21,48646.0,49247.0,48446.0,48846.0,2604.0,-0.0013697789953590611
2014-04-22,48713.0,49046.0,48312.0,48913.0,4405.0,0.0013716578634892507
2014-04-23,48646.0,48980.0,48379.0,48713.0,4732.0,-0.004088892523460008
2014-04-24,48513.0,48713.0,47912.0,48112.0,6376.0,-0.01233756902674854
2014-04-25,47778.0,49313.0,47778.0,48312.0,9508.0,0.004156967076820672
2014-04-28,48179.0,48646.0,47979.0,48246.0,5006.0,-0.001366120218579181
2014-04-29,48446.0,48579.0,47979.0,48446.0,6302.0,0.004145421382083514
2014-04-30,48179.0,48446.0,48045.0,48045.0,2343.0,-0.008277257152293327
2014-05-02,47845.0,48246.0,47378.0,47979.0,5394.0,-0.0013737121448641476
2014-05-07,47645.0,47912.0,46577.0,46577.0,10636.0,-0.029221117572271194
2014-05-08,46844.0,46911.0,45643.0,45710.0,12261.0,-0.018614337548575444
2014-05-09,45710.0,47311.0,45710.0,46844.0,11676.0,0.024808575803981547
2014-05-12,46911.0,46978.0,45977.0,45977.0,9322.0,-0.01850824011613017
2014-05-13,46043.0,46577.0,45843.0,46244.0,9147.0,0.005807251451812823
2014-05-14,46110.0,46978.0,45977.0,46577.0,8976.0,0.007200934175244367
2014-05-15,46778.0,47512.0,46577.0,46978.0,5024.0,0.008609399489018177
2014-05-16,47044.0,47311.0,46377.0,46377.0,7696.0,-0.012793222359402279
2014-05-19,46110.0,47311.0,46110.0,46444.0,11374.0,0.0014446816309807708
2014-05-20,46711.0,47178.0,46244.0,46377.0,6730.0,-0.001442597536818524
2014-05-21,46377.0,46844.0,46244.0,46310.0,4410.0,-0.0014446816309808819
2014-05-22,46244.0,47111.0,46244.0,46778.0,7912.0,0.01010580868063049
2014-05-23,47044.0,47245.0,46577.0,46644.0,5874.0,-0.00286459446748466
2014-05-26,46711.0,47712.0,46644.0,47712.0,12421.0,0.02289683560586564
2014-05-27,48045.0,48045.0,46644.0,46644.0,14807.0,-0.022384305835010054
2014-05-28,46511.0,47645.0,46110.0,47645.0,12643.0,0.021460423634336756
2014-05-29,47512.0,48246.0,47178.0,48246.0,13879.0,0.012614125301710466
