Code,ISU_CD,Name,Market,Dept,MarketId,Close,Marcap,Stocks,source
153460,KR7153460001,네이블,KOSDAQ,중견기업부,KSQ,6180,40355486520,6530014,FinanceDataReader.StockListing(KRX)
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,KSQ,22400,1443345254400,64435056,FinanceDataReader.StockListing(KRX)
033640,KR7033640004,네패스,KOSDAQ,중견기업부,KSQ,21300,491161002600,23059202,FinanceDataReader.StockListing(KRX)
330860,KR7330860008,네패스아크,KOSDAQ,중견기업부,KSQ,32650,397809069250,12184045,FinanceDataReader.StockListing(KRX)
351320,KR7351320007,넥사다이내믹스,KOSDAQ,중견기업부,KSQ,1034,30708395828,29698642,FinanceDataReader.StockListing(KRX)
089140,KR7089140008,넥스턴앤롤코리아,KOSDAQ,벤처기업부,KSQ,2300,35227338200,15316234,FinanceDataReader.StockListing(KRX)
389650,KR7389650003,넥스트바이오메디컬,KOSDAQ,기술성장기업부,KSQ,40400,334402354400,8277286,FinanceDataReader.StockListing(KRX)
137940,KR7137940003,넥스트아이,KOSDAQ,중견기업부,KSQ,2160,18439701840,8536899,FinanceDataReader.StockListing(KRX)
396270,KR7396270001,넥스트칩,KOSDAQ,벤처기업부,KSQ,2365,77778774315,32887431,FinanceDataReader.StockListing(KRX)
348210,KR7348210006,넥스틴,KOSDAQ,우량기업부,KSQ,43800,458892819000,10477005,FinanceDataReader.StockListing(KRX)
225570,KR7225570001,넥슨게임즈,KOSDAQ,중견기업부,KSQ,8740,575617920760,65860174,FinanceDataReader.StockListing(KRX)
205500,KR7205500002,넥써쓰,KOSDAQ,중견기업부,KSQ,1574,100912443826,64112099,FinanceDataReader.StockListing(KRX)
217270,KR7217270008,넵튠,KOSDAQ,중견기업부,KSQ,2350,109828761050,46735643,FinanceDataReader.StockListing(KRX)
104620,KR7104620000,노랑풍선,KOSDAQ,중견기업부,KSQ,3465,58248562680,16810552,FinanceDataReader.StockListing(KRX)
473980,KR7473980001,노머스,KOSDAQ,기술성장기업부,KSQ,11170,123532626740,11059322,FinanceDataReader.StockListing(KRX)
194700,KR7194700001,노바렉스,KOSDAQ,우량기업부,KSQ,12920,235852636160,18254848,FinanceDataReader.StockListing(KRX)
285490,KR7285490009,노바텍,KOSDAQ,벤처기업부,KSQ,11800,124794805800,10575831,FinanceDataReader.StockListing(KRX)
145170,KR7145170007,노브랜드,KOSDAQ,중견기업부,KSQ,3190,53937811950,16908405,FinanceDataReader.StockListing(KRX)
376930,KR7376930004,노을,KOSDAQ,기술성장기업부,KSQ,733,37596539759,51291323,FinanceDataReader.StockListing(KRX)
486990,KR7486990005,노타,KOSDAQ,기술성장기업부,KSQ,20950,447203518500,21346230,FinanceDataReader.StockListing(KRX)
142280,KR7142280007,녹십자엠에스,KOSDAQ,중견기업부,KSQ,2940,70451311140,23963031,FinanceDataReader.StockListing(KRX)
234690,KR7234690006,녹십자웰빙,KOSDAQ,우량기업부,KSQ,8240,148017509600,17963290,FinanceDataReader.StockListing(KRX)
069140,KR7069140002,누리플랜,KOSDAQ,벤처기업부,KSQ,1654,24968459816,15095804,FinanceDataReader.StockListing(KRX)
040160,KR7040160004,누리플렉스,KOSDAQ,중견기업부,KSQ,7210,86920407350,12055535,FinanceDataReader.StockListing(KRX)
332290,KR7332290006,누보,KOSDAQ,벤처기업부,KSQ,796,31763905584,39904404,FinanceDataReader.StockListing(KRX)
348340,KR7348340001,뉴로메카,KOSDAQ,기술성장기업부,KSQ,34250,425013421750,12409151,FinanceDataReader.StockListing(KRX)
380550,KR7380550004,뉴로핏,KOSDAQ,기술성장기업부,KSQ,9660,117841045560,12198866,FinanceDataReader.StockListing(KRX)
060260,KR7060260007,뉴보텍,KOSDAQ,벤처기업부,KSQ,1580,21080922480,13342356,FinanceDataReader.StockListing(KRX)
463020,KR7463020008,뉴엔AI,KOSDAQ,기술성장기업부,KSQ,6730,59757016000,8879200,FinanceDataReader.StockListing(KRX)
123840,KR7123840001,뉴온,KOSDAQ,투자주의환기종목(소속부없음),KSQ,2255,14354044650,6365430,FinanceDataReader.StockListing(KRX)
012340,KR7012340006,뉴인텍,KOSDAQ,투자주의환기종목(소속부없음),KSQ,855,9661766760,11300312,FinanceDataReader.StockListing(KRX)
462310,KR7462310004,뉴키즈온,KOSDAQ,중견기업부,KSQ,3395,27788485795,8185121,FinanceDataReader.StockListing(KRX)
270870,KR7270870009,뉴트리,KOSDAQ,중견기업부,KSQ,4660,42873043840,9200224,FinanceDataReader.StockListing(KRX)
144960,KR7144960002,뉴파워프라즈마,KOSDAQ,우량기업부,KSQ,8800,384495091200,43692624,FinanceDataReader.StockListing(KRX)
085670,KR7085670008,뉴프렉스,KOSDAQ,우량기업부,KSQ,3415,83670098815,24500761,FinanceDataReader.StockListing(KRX)
064260,KR7064260003,다날,KOSDAQ,중견기업부,KSQ,4260,322249646820,75645457,FinanceDataReader.StockListing(KRX)
340360,KR7340360007,다보링크,KOSDAQ,투자주의환기종목(소속부없음),KSQ,786,40921338792,52062772,FinanceDataReader.StockListing(KRX)
039560,KR7039560008,다산네트웍스,KOSDAQ,중견기업부,KSQ,2530,108507824040,42888468,FinanceDataReader.StockListing(KRX)
208860,KR7208860007,다산디엠씨,KOSDAQ,벤처기업부,KSQ,944,32048774512,33949973,FinanceDataReader.StockListing(KRX)
154040,KR7154040000,다산솔루에타,KOSDAQ,중견기업부,KSQ,810,17508647340,21615614,FinanceDataReader.StockListing(KRX)
032190,KR7032190001,다우데이타,KOSDAQ,우량기업부,KSQ,19060,729998000000,38300000,FinanceDataReader.StockListing(KRX)
323350,KR7323350009,다원넥스뷰,KOSDAQ,기술성장기업부,KSQ,9120,73058240640,8010772,FinanceDataReader.StockListing(KRX)
068240,KR7068240001,다원시스,KOSDAQ,관리종목(소속부없음),KSQ,2530,96553495610,38163437,FinanceDataReader.StockListing(KRX)
290660,KR7290660000,다이나믹솔루션,KOSDAQ,기술성장기업부,KSQ,1643,70382649984,42837888,FinanceDataReader.StockListing(KRX)
464580,KR7464580000,닷밀,KOSDAQ,기술성장기업부,KSQ,1435,26412737715,18406089,FinanceDataReader.StockListing(KRX)
020400,KR7020400008,대동금속,KOSDAQ,중견기업부,KSQ,3185,20314987420,6378332,FinanceDataReader.StockListing(KRX)
008830,KR7008830002,대동기어,KOSDAQ,중견기업부,KSQ,10150,91223328000,8987520,FinanceDataReader.StockListing(KRX)
048470,KR7048470009,대동스틸,KOSDAQ,중견기업부,KSQ,2615,25234750000,9650000,FinanceDataReader.StockListing(KRX)
004780,KR7004780003,대륙제관,KOSDAQ,우량기업부,KSQ,3880,61704412120,15903199,FinanceDataReader.StockListing(KRX)
017650,KR7017650003,대림제지,KOSDAQ,우량기업부,KSQ,8880,78010800000,8785000,FinanceDataReader.StockListing(KRX)
389260,KR7389260001,대명에너지,KOSDAQ,우량기업부,KSQ,13440,240795408000,17916325,FinanceDataReader.StockListing(KRX)
