Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
110660,세신버팔로,KONEX,주권,2014-12-08,2018-10-11,지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
135270,세종머티리얼즈,KONEX,주권,2014-12-17,2019-10-02,파산선고에 따른 해산사유 발생,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
085980,세화피앤씨,KONEX,주권,2013-09-25,2017-09-19,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
258250,셀젠텍,KONEX,주권,2016-12-13,2024-08-30,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.16 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
210610,소프트캠프,KONEX,주권,2014-12-18,2019-12-30,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
222520,솔트웍스,KONEX,주권,2015-07-08,2016-12-05,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
179280,스탠다드펌,KONEX,주권,2013-07-01,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
245030,스페이스솔루션,KONEX,주권,2016-06-03,2019-02-27,상장폐지 신청('19.1.25),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
246830,시냅스엠,KONEX,주권,2016-07-13,2018-05-14,감사의견 거절(계속기업 존속능력에 대한 불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
144630,씨아이에스,KONEX,주권,2014-04-25,2017-01-20,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
286000,씨엔티드림,KONEX,주권,2020-12-11,2024-10-07,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
189540,씨티네트웍스,KONEX,주권,2013-12-24,2020-05-12,감사의견 거절(계속기업 존속능력에 대한 불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
232360,아스팩오일,KONEX,주권,2015-12-22,2017-07-25,지정자문인 선임계약 해지 후 30일이내 미체결(2017.07.11限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
122050,아이엘사이언스,KONEX,주권,2018-11-16,2019-12-27,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
149300,아퓨어스,KONEX,주권,2019-09-03,2026-05-20,감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
