키워드종류,이벤트수,평균기사수,return_30d_avg,excess_30d_avg,return_90d_avg,excess_90d_avg,return_180d_avg,excess_180d_avg,return_365d_avg,excess_365d_avg,min_return_1y_avg,max_return_1y_avg,min_excess_1y_avg,max_excess_1y_avg
구조조정,520,1.8596153846153847,0.022481237359302474,-0.011109112891686566,0.02854983135580412,-0.02414520710533349,0.0424726399555167,-0.04950897246090472,0.10282906612400783,-0.06454224605313535,-0.2254694204641461,0.42262504813671803,-0.25133274833530755,0.23684834057382545
희망퇴직,203,4.123152709359606,-0.00022820709833566664,-0.04860345017607248,0.022343823395652985,-0.06648236810626698,0.04048484587665087,-0.08557446098251448,0.030898846116766486,-0.10115160118932828,-0.19031000742403498,0.4006140632432407,-0.21534745969746577,0.13306202128395966
"구조조정,희망퇴직",76,11.671052631578947,-0.007096137439064255,-0.039483030471895025,-0.007197682380974697,-0.073929506989203,0.01827292246608445,-0.10692669086895497,0.0425009815301123,-0.11233859399884301,-0.23741352813746797,0.34776874482588693,-0.28643859296678503,0.1252484392734177
"구조조정,인력감축,희망퇴직",9,18.333333333333332,-0.3471155621356991,-0.33741430144769513,-0.24586015223304278,-0.25517948399508705,-0.25492313905719416,-0.27163957023725505,-0.18302975610807767,-0.2106579206725559,-0.46796691276745517,0.21673849508392787,-0.44371754429350396,0.16653051540006225
"구조조정,인력감축",7,8.857142857142858,-0.13989721528312157,-0.14418573456164172,-0.15431023020567708,-0.19800148674050705,-0.1700543912483408,-0.21812651752263051,-0.13113583658439326,-0.2569912528728487,-0.3324763886501643,0.17667727244327858,-0.33610317120058203,0.1103090864497246
인력감축,5,1.0,-0.015496106899305409,-0.08754416357307908,-0.045669729789949556,-0.1179034773371704,0.016223334477020755,0.004715474867533827,-0.07571138272053907,-0.22474884885737778,-0.2271136946779894,0.1507147168409621,-0.21601016433391546,0.06764703218140858
"인력감축,희망퇴직",2,3.5,0.1478340745644173,0.0445961161318012,0.2017089872287233,0.014632733183688906,0.2364299914315292,0.026468766902117052,0.1490845440538032,-0.02222766019253685,0.017881145164015406,0.3684836968119911,-0.0320850887956292,0.1480668927999784
