시장,이벤트수,평균기사수,return_30d_avg,excess_30d_avg,return_90d_avg,excess_90d_avg,return_180d_avg,excess_180d_avg,return_365d_avg,excess_365d_avg,min_return_1y_avg,max_return_1y_avg,min_excess_1y_avg,max_excess_1y_avg
KOSPI,752,3.75,0.009338897025496817,-0.027958028597997377,0.018082069378068277,-0.04614243642440979,0.035303903541678006,-0.0708238433194349,0.07562262886844909,-0.0871359456161029,-0.21685752201752018,0.40390898092167943,-0.2509196666747291,0.18811613054393495
KOSDAQ,57,1.5964912280701755,0.013181806476242452,-0.018575733508125834,0.03806588102465102,-0.00810586076265253,0.029430419650417566,-0.027964454390755265,0.046252810357612625,-0.03657321097862303,-0.29115865348449677,0.4254547046633425,-0.24093829857771631,0.3205804330185154
KOSDAQ GLOBAL,13,1.4615384615384615,-0.03977732721166582,-0.0617405315199357,-0.007220817372112008,-0.03388005094060186,0.017232036204097786,0.0011218245259252701,0.13222404915644295,0.04638804759871927,-0.17711944178056635,0.32684547529440455,-0.11776967735596432,0.27530073646835657
